gpu,c,dcp,x,y,ttft,tpot,kv_peak_percent,prefix_trace_percent,prefix_server_percent,raw_capacity_tokens,logical_capacity_tokens,requested_profile_seconds,active_envelope_seconds,valid_requests,errors,measurement_valid,source_sha,tp,pp,mtp_steps,graph_max_bs,max_running_requests
8,4,4,21.51096517928656,1882.8009367417046,4723.381499800005,27.875045349565216,66.0,97.43110369241056,95.63076915160548,436992,1747968,3600,3612.8338728,335,0,True,75af570964cafd10eb0897ee8b4e5cc58d40acec,8,1,5,8,32
8,8,4,6.588177474388453,2149.4017253784514,8927.691077200017,78.98139265702726,97.0,97.53641154375434,89.96790809354341,436992,1747968,3600,3628.591695034,507,0,True,75af570964cafd10eb0897ee8b4e5cc58d40acec,8,1,5,16,32
